Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,Functional,secondary,tert,Notes
Kreher,161,19,5/19/2022,PITA,24.9,7.8,150,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,162,19,5/19/2022,PIEC,33.5,4.5,335,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,"""2"""
Kreher,163,19,5/19/2022,PIEC,36,4.5,225,Pinus ,echinata,Pinus echinata,shortleaf pine,Pinus,pine,Pine,"""2"""
Kreher,164,19,5/19/2022,PITA,41,3.6,160,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,165,19,5/19/2022,PITA,47.3,6.1,358,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Kreher,166,19,5/19/2022,LIST,10.1,4.8,303,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,167,19,5/19/2022,LIST,10.6,7.7,274,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,168,19,5/19/2022,LIST,10.6,6.8,282,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,169,19,5/19/2022,LIST,11.2,6.7,284,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,170,19,5/19/2022,LIST,12.4,3.7,272,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,171,19,5/19/2022,LIST,14.2,4.7,230,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,172,19,5/19/2022,LIST,14.5,6.6,180,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,173,19,5/19/2022,LIST,16,5.1,270,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
